"codfunc","func","codcliente","cliente","codfilial","filial","codfornec","fornecedor","codprod","produto","numnota","qtd","vlrbonus","vlrunitario","datasaida"
602,Func 4,69359,Cliente 23,1,COML.SAARA LTDA. HBL,227106,DALPRIZE COSMETICOS EIRELI,7237,TALCO INF FLORA NENEN 180G,2315389,24,0,2.68,2022-02-05 00:00:00.000
602,Func 4,69359,Cliente 23,1,COML.SAARA LTDA. HBL,920,CIGEL INDUSTRIAL LTDA - PELE.UNHA,9441,ASEPLYNE LIQ 1L AROEIRA,2315389,4,0,4.46,2022-02-05 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),61124,SAB DOVE 12X90G BRANCO,2315323,2,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),93744,SAB DOVE 12X90G MICELAR ANTI STRESS,2315323,1,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224758,DISTRIBUIDORA MEMPHIS LTDA.(PB),8187,SAB A.FLORES 12X130G CLASSIC,2315323,1,0,6.96,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99120,SAB YPE 12X85G SV BAUNILHA E AMENDOA BG,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99116,SAB YPE 12X85G SV MACA E FRANBOESA RS,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,5302,PERFUMES DANA DO BRASIL S.A,10960,DC HERBISSIMO 55G TRADICIONAL,2315320,2,0,1.82,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2527,LR NORDESTE S/A,54295,TALCO A-SEPT BARLA 80G,2315320,3,0,2.19,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,934,FARMAX S.A,81677,P.SOLAR SUNLES 120G OIL FREE FPS60,2315320,1,0,5.57,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,227425,BASTON INDUSTRIA DE AEROSSOIS LTDA - HP,96803,DA ABOVE 150ML MEN TEEN BOY,2315323,6,0,2.24,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2488,HIGIE PLUS COTTONBABY IND. E COM. LTDA,57771,ABS COTTONBABY LADY 8UND SV S/ABA,2315320,6,0,1.43,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,226228,FALCON DISTRIBUICAO ARMAZ E TRANST S/A (SAPEKA),63593,FDA SAPEKA REG XXG 6UND,2315320,4,0,2.21,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2371,UNILEVER BRASIL LTDA (DEO),80987,DA REXONA 90G MEN ACTIVE,2315320,2,0,3.08,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,920,CIGEL INDUSTRIAL LTDA - PELE.UNHA,9430,ASEPLYNE LIQ 100ML AROEIRA,2315320,6,0,2.26,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),61128,SAB DOVE 12X90G ESFOLIANTE,2315323,1,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,223170,UNILEVER BRASIL LTDA (SABONETE),80864,SAB DOVE 12X90G REEQUILIBRIO,2315323,1,0,5.87,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99118,SAB YPE 12X85G SV AGUA COCO E ALECRIM VD,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,224070,QUIMICA AMPARO LTDA-SP (YPE SAB),99115,SAB YPE 12X85G SV FRESIA E PESSEGO LIL,2315323,1,0,3.61,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,891,PONTELAND DISTRIBUICAO S/A,8266,SAB PHEBO 12X90G ODOR ROSAS,2315323,1,0,6.16,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,471,LOREAL BRASIL COML COSMET LTDA-(CABELOS),97761,SH ELSEVE 200ML LISO DOS SONHOS,2315320,2,0,2.87,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,222401,COLGATE-PALMOLIVE COMERCIAL LTDA (PELE),94182,SAB PROTEX 12X85G BALANCE SAUDAVEL*,2315320,1,0,5.41,2022-02-04 00:00:00.000
607,Func 10,1804,Cliente 21,1,COML.SAARA LTDA. HBL,227425,BASTON INDUSTRIA DE AEROSSOIS LTDA - HP,96804,DA ABOVE 150ML FEM LADY,2315323,6,0,2.24,2022-02-04 00:00:00.000
607,Func 10,14842,Cliente 16,1,COML.SAARA LTDA. HBL,2488,HIGIE PLUS COTTONBABY IND. E COM. LTDA,61074,ABS COTTONBABY LADY 8UND SV C/ABA,2315320,6,0,1.43,2022-02-04 00:00:00.000
